Run,PC1,PC2,PC3,Organism,country,locality,haplotype,tree_label
SRR12425370,-47.9251908536622,14.7521898897597,-20.3138308644656,Broussonetia papyrifera,China,"China, Liancheng, Longyan, Fujian Province",cp21,"China, Liancheng, Longyan, Fujian Province [cp21]"
SRR12425371,-47.4883603344582,7.57154483938497,-8.16513088996328,Broussonetia papyrifera,China,"China, Liancheng, Longyan, Fujian Province",cp01,"China, Liancheng, Longyan, Fujian Province [cp01]"
SRR12425372,36.8402306942858,-7.04812737633635,-10.8126796642219,Broussonetia papyrifera,Taiwan,"Taiwan, Guanshan Township, Taitung County",cp17,"Taiwan, Guanshan Township, Taitung County [cp17]"
SRR12425373,32.7433082369788,-16.3552641818523,-10.7241363380985,Broussonetia papyrifera,Taiwan,"Taiwan, Fangshan Township, Pingtung County",cp17,"Taiwan, Fangshan Township, Pingtung County [cp17]"
SRR12425375,35.4223202557396,-7.76810443592776,-11.7342139040134,Broussonetia papyrifera,Taiwan,"Taiwan, Dawu Township, Taitung County",cp16,"Taiwan, Dawu Township, Taitung County [cp16]"
SRR12425376,32.4229826040161,-27.3629855708252,-6.90379015577477,Broussonetia papyrifera,Taiwan,"Taiwan, Yanpu Township, Pingtung County",cp16,"Taiwan, Yanpu Township, Pingtung County [cp16]"
SRR12425378,33.6051296457165,-31.0589700284387,-6.23817475997521,Broussonetia papyrifera,Taiwan,"Taiwan, Taibao Township, Chiayi County",cp11,"Taiwan, Taibao Township, Chiayi County [cp11]"
SRR12425379,29.7574843029592,-29.2484153221884,-5.62470869092981,Broussonetia papyrifera,Taiwan,"Taiwan, Ren'ai Township, Nantou County",cp09,"Taiwan, Ren'ai Township, Nantou County [cp09]"
SRR12425380,38.9113717938737,-7.85680408879738,-13.0750415237059,Broussonetia papyrifera,Taiwan,"Taiwan, Taitung City, Taitung County",cp05,"Taiwan, Taitung City, Taitung County [cp05]"
SRR12425382,34.6206696581132,-10.1067351615792,-11.2057227604214,Broussonetia papyrifera,Taiwan,"Taiwan, Xincheng Township, Hualien County",cp06,"Taiwan, Xincheng Township, Hualien County [cp06]"
SRR12425383,36.7850913787938,-9.7311210862483,-11.6822986970124,Broussonetia papyrifera,Taiwan,"Taiwan, Hualien County, Hualien County",cp05,"Taiwan, Hualien County, Hualien County [cp05]"
SRR12425384,35.8067521768525,-8.54523880455193,-11.8870012888393,Broussonetia papyrifera,Taiwan,"Taiwan, Luye Township, Taitung County",cp05,"Taiwan, Luye Township, Taitung County [cp05]"
SRR12425385,-22.5483053738848,11.5210327463904,-21.0837845216265,Broussonetia kaempferi,China,"China, Yongchun, Quanzhou, Fujian Province","","China, Yongchun, Quanzhou, Fujian Province"
SRR12425386,-24.3239683171834,10.7333763126349,-20.509604506238,Broussonetia monoica,Taiwan,"Taiwan, Fuxing District, Taoyuan City","","Taiwan, Fuxing District, Taoyuan City"
SRR12425387,45.8634072731015,46.5815683968749,20.2985451395936,Broussonetia papyrifera,French Polynesia,"French Polynesia, Tahiti",cp17B,"French Polynesia, Tahiti [cp17B]"
SRR12425388,47.4977433869225,48.7866850595977,21.5382205749819,Broussonetia papyrifera,Samoa,"Samoa, Palauli Siapo demostration, Palauli, Savaii",cp17,"Samoa, Palauli Siapo demostration, Palauli, Savaii [cp17]"
SRR12425389,48.5028448454329,50.1272794104025,21.9793349546783,Broussonetia papyrifera,Samoa,"Samoa, Faleolo International Airpor, Faleolo, Upolu",cp17,"Samoa, Faleolo International Airpor, Faleolo, Upolu [cp17]"
SRR12425390,45.4929445887656,46.8555292417118,20.6806611383153,Broussonetia papyrifera,Fiji,"Fiji, Ekubo, Vatulele",cp17,"Fiji, Ekubo, Vatulele [cp17]"
SRR12425391,35.1343850795329,-7.80837067895154,-10.8258089385663,Broussonetia papyrifera,Taiwan,"Taiwan, Changbin Township, Taitung County",cp05,"Taiwan, Changbin Township, Taitung County [cp05]"
SRR12425392,46.1638344266565,47.5087279058292,20.8136951179448,Broussonetia papyrifera,Tonga,"Tonga, Nuku'alofa, Tongatapu",cp17,"Tonga, Nuku'alofa, Tongatapu [cp17]"
SRR12425393,-31.6692186053498,-23.5287652004269,41.6405572957965,Broussonetia papyrifera,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo",cp28,"Japan, The University of Tokyo, Bunkyo, Tokyo [cp28]"
SRR12425394,-32.0477984264763,-21.8850520340222,42.1982134567784,Broussonetia papyrifera,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo",cp28,"Japan, The University of Tokyo, Bunkyo, Tokyo [cp28]"
SRR12425395,-44.6996518596813,7.16087750217463,-2.23529661523485,Broussonetia papyrifera,China,"China, Peking University, Haidian, Beijing",cp40,"China, Peking University, Haidian, Beijing [cp40]"
SRR12425396,-45.6103956477235,7.01367006527473,-4.04487692078496,Broussonetia papyrifera,China,"China, Peking University, Haidian, Beijing",CloseTocp40,"China, Peking University, Haidian, Beijing [CloseTocp40]"
SRR12425397,-45.5491195965358,6.86859560365451,-4.2772878301917,Broussonetia papyrifera,China,"China, Yuntai Mountain, Jiaozuo, Henan Province",cp40,"China, Yuntai Mountain, Jiaozuo, Henan Province [cp40]"
SRR12425398,-41.6820772701443,-0.568978357522119,7.75413575290426,Broussonetia papyrifera,China,"China, Mengyin, Linyi, Shandong Province",cp40,"China, Mengyin, Linyi, Shandong Province [cp40]"
SRR12425399,-42.8090842039483,-1.51348995746521,10.5992645963739,Broussonetia papyrifera,China,"China, White Horse Temple, Taian, Shandong Province",cp29,"China, White Horse Temple, Taian, Shandong Province [cp29]"
SRR12425400,-41.9822354297951,-0.467144404175091,7.75652825410338,Broussonetia papyrifera,China,"China, Jiawang, Xuzhou, Zhejiang Province",cp29,"China, Jiawang, Xuzhou, Zhejiang Province [cp29]"
SRR12425401,-38.1829629431678,-9.48720428186633,23.594043162881,Broussonetia papyrifera,China,"China, Lianyun, Lianyungang, Zhejiang Province",cp01,"China, Lianyun, Lianyungang, Zhejiang Province [cp01]"
SRR12425402,31.8931441629005,-26.5757478637174,-9.54719784319315,Broussonetia papyrifera,Taiwan,"Taiwan, Bali District, Taipei City",CloseTocp01,"Taiwan, Bali District, Taipei City [CloseTocp01]"
SRR12425403,-32.6587915966631,-11.3702212876725,22.9040125356321,Broussonetia papyrifera,China,"China, Jurong, Zhenjiang, Jiangsu Province",cp01,"China, Jurong, Zhenjiang, Jiangsu Province [cp01]"
SRR12425404,-29.3241666035475,-17.7813831550177,30.965427019791,Broussonetia papyrifera,China,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City",CloseTocp01,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City [CloseTocp01]"
SRR12425405,-27.4245161746752,-17.0362234693066,30.8207189424828,Broussonetia papyrifera,China,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City",cp01,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City [cp01]"
SRR12425406,-32.9783577836209,-18.0975020634769,34.3159872612482,Broussonetia papyrifera,China,"China, Xihu, Hangzhou, Zhejiang Province",cp22,"China, Xihu, Hangzhou, Zhejiang Province [cp22]"
SRR12425407,-31.9231204679497,-18.2663523404206,34.4384499263281,Broussonetia papyrifera,China,"China, Deqing, Huzhou, Zhejiang Province",cp01,"China, Deqing, Huzhou, Zhejiang Province [cp01]"
SRR12425408,-37.6561424270056,-7.97112987954752,19.3016548560783,Broussonetia papyrifera,China,"China, Donghai, Lianyungang, Jiangsu Province",cp47,"China, Donghai, Lianyungang, Jiangsu Province [cp47]"
SRR12425409,-36.8963659208547,-8.96330223680179,23.4702130083027,Broussonetia papyrifera,China,"China, Yanping, Nanping, Fujian Province",cp20,"China, Yanping, Nanping, Fujian Province [cp20]"
SRR12425410,-30.5113275330153,-15.4557705202511,28.2097922156001,Broussonetia papyrifera,Taiwan,"Taiwan, Kincheng, Kinmen County, Fujian Province",cp48,"Taiwan, Kincheng, Kinmen County, Fujian Province [cp48]"
SRR12425411,-23.4743569409142,-15.2718279039058,26.5314645858806,Broussonetia papyrifera,Taiwan,"Taiwan, Machu, Lianjiang County, Fujian Province",cp46,"Taiwan, Machu, Lianjiang County, Fujian Province [cp46]"
SRR12425412,-38.8421596263909,-7.41498705669699,16.9511765103322,Broussonetia papyrifera,China,"China, Xiamen Botanical Garden, Xiamen, Fujian Province",cp22,"China, Xiamen Botanical Garden, Xiamen, Fujian Province [cp22]"
SRR12425413,29.886216118791,-29.1235946049824,-5.38781835933497,Broussonetia papyrifera,Taiwan,"Taiwan, Fengyuan District, Taichung City",cp03,"Taiwan, Fengyuan District, Taichung City [cp03]"
SRR12425414,-33.9045398234142,-14.2849575266781,32.5028529826175,Broussonetia papyrifera,China,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province",cp01,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province [cp01]"
SRR12425415,-42.3186479223355,-3.93204941139273,14.0836140148154,Broussonetia papyrifera,China,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province",cp01,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province [cp01]"
SRR12425416,37.0905513341865,-12.4695292786473,-12.9940741751266,Broussonetia papyrifera,Taiwan,"Taiwan, Fenggang Township, Pingtung County",p17,"Taiwan, Fenggang Township, Pingtung County [p17]"
SRR12425417,29.7099579703149,-31.5145359350578,-8.5604627366766,Broussonetia papyrifera,Taiwan,"Taiwan, Zuozhen District, Tainan City",cp16,"Taiwan, Zuozhen District, Tainan City [cp16]"
SRR12425418,31.1366272974813,-31.9898570300361,-8.74047701581354,Broussonetia papyrifera,Taiwan,"Taiwan, National Chiayi University, East District, Chiayi City, Chiayi County",cp09,"Taiwan, National Chiayi University, East District, Chiayi City, Chiayi County [cp09]"
