Run,PC1,PC2,PC3,Organism,country,locality,haplotype,tree_label
SRR12425370,-46.2417990115632,-14.6505787263189,19.7256477386689,Broussonetia papyrifera,China,"China, Liancheng, Longyan, Fujian Province",cp21,"China, Liancheng, Longyan, Fujian Province [cp21]"
SRR12425371,-45.1874283386458,-7.35949459168644,7.33569091287136,Broussonetia papyrifera,China,"China, Liancheng, Longyan, Fujian Province",cp01,"China, Liancheng, Longyan, Fujian Province [cp01]"
SRR12425372,34.8129084885946,6.00542592599324,10.0997073308805,Broussonetia papyrifera,Taiwan,"Taiwan, Guanshan Township, Taitung County",cp17,"Taiwan, Guanshan Township, Taitung County [cp17]"
SRR12425373,32.0305554322985,14.9393604927527,10.3061672365356,Broussonetia papyrifera,Taiwan,"Taiwan, Fangshan Township, Pingtung County",cp17,"Taiwan, Fangshan Township, Pingtung County [cp17]"
SRR12425375,33.849824329318,6.64967795377703,10.7415294554646,Broussonetia papyrifera,Taiwan,"Taiwan, Dawu Township, Taitung County",cp16,"Taiwan, Dawu Township, Taitung County [cp16]"
SRR12425376,31.0768314738988,24.8445719902768,7.16798010556613,Broussonetia papyrifera,Taiwan,"Taiwan, Yanpu Township, Pingtung County",cp16,"Taiwan, Yanpu Township, Pingtung County [cp16]"
SRR12425378,31.6834871960398,28.2884288977647,6.98571834829507,Broussonetia papyrifera,Taiwan,"Taiwan, Taibao Township, Chiayi County",cp11,"Taiwan, Taibao Township, Chiayi County [cp11]"
SRR12425379,28.9108631544682,27.2393676926303,6.54804927409085,Broussonetia papyrifera,Taiwan,"Taiwan, Ren'ai Township, Nantou County",cp09,"Taiwan, Ren'ai Township, Nantou County [cp09]"
SRR12425380,36.6769518033714,6.48608884794556,12.0471542743132,Broussonetia papyrifera,Taiwan,"Taiwan, Taitung City, Taitung County",cp05,"Taiwan, Taitung City, Taitung County [cp05]"
SRR12425382,33.3598534608403,8.48922458478655,10.409091978665,Broussonetia papyrifera,Taiwan,"Taiwan, Xincheng Township, Hualien County",cp06,"Taiwan, Xincheng Township, Hualien County [cp06]"
SRR12425383,34.5747287529807,7.91067464679171,10.4790968849377,Broussonetia papyrifera,Taiwan,"Taiwan, Hualien County, Hualien County",cp05,"Taiwan, Hualien County, Hualien County [cp05]"
SRR12425384,33.5994253874405,7.30326415178036,11.051667384059,Broussonetia papyrifera,Taiwan,"Taiwan, Luye Township, Taitung County",cp05,"Taiwan, Luye Township, Taitung County [cp05]"
SRR12425385,-21.1082060542172,-12.273913912765,18.0586680707959,Broussonetia kaempferi,China,"China, Yongchun, Quanzhou, Fujian Province","","China, Yongchun, Quanzhou, Fujian Province"
SRR12425386,-22.7073122246685,-11.221961209291,17.4888140895407,Broussonetia monoica,Taiwan,"Taiwan, Fuxing District, Taoyuan City","","Taiwan, Fuxing District, Taoyuan City"
SRR12425387,43.1212838368595,-43.6070732205936,-20.193114808687,Broussonetia papyrifera,French Polynesia,"French Polynesia, Tahiti",cp17B,"French Polynesia, Tahiti [cp17B]"
SRR12425388,44.2906928699882,-45.2052689158758,-21.1154467200988,Broussonetia papyrifera,Samoa,"Samoa, Palauli Siapo demostration, Palauli, Savaii",cp17,"Samoa, Palauli Siapo demostration, Palauli, Savaii [cp17]"
SRR12425389,44.7332685278559,-45.8402951645146,-21.3789788358465,Broussonetia papyrifera,Samoa,"Samoa, Faleolo International Airpor, Faleolo, Upolu",cp17,"Samoa, Faleolo International Airpor, Faleolo, Upolu [cp17]"
SRR12425390,43.3107445961108,-44.386797027234,-20.6228084685296,Broussonetia papyrifera,Fiji,"Fiji, Ekubo, Vatulele",cp17,"Fiji, Ekubo, Vatulele [cp17]"
SRR12425391,33.7246863552681,6.74888685943838,9.81736813429537,Broussonetia papyrifera,Taiwan,"Taiwan, Changbin Township, Taitung County",cp05,"Taiwan, Changbin Township, Taitung County [cp05]"
SRR12425392,43.3502983682404,-44.3769924264064,-20.6612411419564,Broussonetia papyrifera,Tonga,"Tonga, Nuku'alofa, Tongatapu",cp17,"Tonga, Nuku'alofa, Tongatapu [cp17]"
SRR12425393,-29.584163912081,23.1228344838217,-39.5730761783382,Broussonetia papyrifera,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo",cp28,"Japan, The University of Tokyo, Bunkyo, Tokyo [cp28]"
SRR12425394,-29.9230874817458,21.5663881861851,-39.4096713602521,Broussonetia papyrifera,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo",cp28,"Japan, The University of Tokyo, Bunkyo, Tokyo [cp28]"
SRR12425395,-42.5160668529261,-6.70727931919907,1.76631688211868,Broussonetia papyrifera,China,"China, Peking University, Haidian, Beijing",cp40,"China, Peking University, Haidian, Beijing [cp40]"
SRR12425396,-43.0069888122731,-6.19699357991809,3.62048672078573,Broussonetia papyrifera,China,"China, Peking University, Haidian, Beijing",CloseTocp40,"China, Peking University, Haidian, Beijing [CloseTocp40]"
SRR12425397,-43.044467444282,-6.32566786295058,3.40968303612856,Broussonetia papyrifera,China,"China, Yuntai Mountain, Jiaozuo, Henan Province",cp40,"China, Yuntai Mountain, Jiaozuo, Henan Province [cp40]"
SRR12425398,-40.585876073592,1.35846878450163,-7.69303659341546,Broussonetia papyrifera,China,"China, Mengyin, Linyi, Shandong Province",cp40,"China, Mengyin, Linyi, Shandong Province [cp40]"
SRR12425399,-40.7929165173905,2.24639375194043,-10.2141260000217,Broussonetia papyrifera,China,"China, White Horse Temple, Taian, Shandong Province",cp29,"China, White Horse Temple, Taian, Shandong Province [cp29]"
SRR12425400,-40.7715435281168,0.372610402420912,-7.50818623296895,Broussonetia papyrifera,China,"China, Jiawang, Xuzhou, Zhejiang Province",cp29,"China, Jiawang, Xuzhou, Zhejiang Province [cp29]"
SRR12425401,-36.1449631862763,10.3102708305857,-22.4471365727193,Broussonetia papyrifera,China,"China, Lianyun, Lianyungang, Zhejiang Province",cp01,"China, Lianyun, Lianyungang, Zhejiang Province [cp01]"
SRR12425402,30.6221639897943,24.2016653531035,10.0884505474318,Broussonetia papyrifera,Taiwan,"Taiwan, Bali District, Taipei City",CloseTocp01,"Taiwan, Bali District, Taipei City [CloseTocp01]"
SRR12425403,-31.5215787411291,12.0495343319051,-21.714857452053,Broussonetia papyrifera,China,"China, Jurong, Zhenjiang, Jiangsu Province",cp01,"China, Jurong, Zhenjiang, Jiangsu Province [cp01]"
SRR12425404,-27.7303304704114,17.4348509035131,-28.809357230375,Broussonetia papyrifera,China,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City",CloseTocp01,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City [CloseTocp01]"
SRR12425405,-26.348948328117,17.3127691113094,-29.6820698747266,Broussonetia papyrifera,China,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City",cp01,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City [cp01]"
SRR12425406,-30.0135561232055,17.7477159447163,-31.1807487425417,Broussonetia papyrifera,China,"China, Xihu, Hangzhou, Zhejiang Province",cp22,"China, Xihu, Hangzhou, Zhejiang Province [cp22]"
SRR12425407,-29.6935106261162,18.5115829852269,-31.4081303755591,Broussonetia papyrifera,China,"China, Deqing, Huzhou, Zhejiang Province",cp01,"China, Deqing, Huzhou, Zhejiang Province [cp01]"
SRR12425408,-35.7212224701865,7.7379154577115,-17.9938352256593,Broussonetia papyrifera,China,"China, Donghai, Lianyungang, Jiangsu Province",cp47,"China, Donghai, Lianyungang, Jiangsu Province [cp47]"
SRR12425409,-35.4707729296917,9.24065696490583,-22.6424802197894,Broussonetia papyrifera,China,"China, Yanping, Nanping, Fujian Province",cp20,"China, Yanping, Nanping, Fujian Province [cp20]"
SRR12425410,-28.9302458052013,15.2865597854101,-26.4727641080633,Broussonetia papyrifera,Taiwan,"Taiwan, Kincheng, Kinmen County, Fujian Province",cp48,"Taiwan, Kincheng, Kinmen County, Fujian Province [cp48]"
SRR12425411,-22.3930144672022,15.8303905965259,-25.2714592758818,Broussonetia papyrifera,Taiwan,"Taiwan, Machu, Lianjiang County, Fujian Province",cp46,"Taiwan, Machu, Lianjiang County, Fujian Province [cp46]"
SRR12425412,-36.3650753250569,7.45248918673273,-15.5087972868746,Broussonetia papyrifera,China,"China, Xiamen Botanical Garden, Xiamen, Fujian Province",cp22,"China, Xiamen Botanical Garden, Xiamen, Fujian Province [cp22]"
SRR12425413,29.5146159449217,27.1450033138808,6.43251856409757,Broussonetia papyrifera,Taiwan,"Taiwan, Fengyuan District, Taichung City",cp03,"Taiwan, Fengyuan District, Taichung City [cp03]"
SRR12425414,-31.7074588838349,15.1683148481406,-30.7205052052957,Broussonetia papyrifera,China,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province",cp01,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province [cp01]"
SRR12425415,-39.7835133753247,4.53478360853028,-12.9083357875794,Broussonetia papyrifera,China,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province",cp01,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province [cp01]"
