Run,PC1,PC2,PC3,Organism,country,locality,haplotype,tree_label
SRR12425370,-47.4721050845643,14.8678554060424,-20.1401609925878,Broussonetia papyrifera,China,"China, Liancheng, Longyan, Fujian Province",cp21,"China, Liancheng, Longyan, Fujian Province [cp21]"
SRR12425371,-46.9637457460522,7.46395060320277,-8.20211071228109,Broussonetia papyrifera,China,"China, Liancheng, Longyan, Fujian Province",cp01,"China, Liancheng, Longyan, Fujian Province [cp01]"
SRR12425372,36.2613162171391,-6.90195584613886,-10.4593867374597,Broussonetia papyrifera,Taiwan,"Taiwan, Guanshan Township, Taitung County",cp17,"Taiwan, Guanshan Township, Taitung County [cp17]"
SRR12425373,32.7352009106832,-16.0080874786292,-10.7884278841492,Broussonetia papyrifera,Taiwan,"Taiwan, Fangshan Township, Pingtung County",cp17,"Taiwan, Fangshan Township, Pingtung County [cp17]"
SRR12425375,35.1696921835501,-7.42349011129831,-11.3835510543888,Broussonetia papyrifera,Taiwan,"Taiwan, Dawu Township, Taitung County",cp16,"Taiwan, Dawu Township, Taitung County [cp16]"
SRR12425376,32.0964393882622,-26.7420691117421,-7.20045380713856,Broussonetia papyrifera,Taiwan,"Taiwan, Yanpu Township, Pingtung County",cp16,"Taiwan, Yanpu Township, Pingtung County [cp16]"
SRR12425378,33.1746983507032,-30.2929978894442,-6.63131723655982,Broussonetia papyrifera,Taiwan,"Taiwan, Taibao Township, Chiayi County",cp11,"Taiwan, Taibao Township, Chiayi County [cp11]"
SRR12425379,29.5002036426747,-28.7939044059237,-5.97497381654222,Broussonetia papyrifera,Taiwan,"Taiwan, Ren'ai Township, Nantou County",cp09,"Taiwan, Ren'ai Township, Nantou County [cp09]"
SRR12425380,38.4445962646241,-7.42253630355555,-12.713108699583,Broussonetia papyrifera,Taiwan,"Taiwan, Taitung City, Taitung County",cp05,"Taiwan, Taitung City, Taitung County [cp05]"
SRR12425382,34.4248919663149,-9.75704566617895,-11.2429187806682,Broussonetia papyrifera,Taiwan,"Taiwan, Xincheng Township, Hualien County",cp06,"Taiwan, Xincheng Township, Hualien County [cp06]"
SRR12425383,36.0940396646928,-9.10403268104467,-11.0786069039249,Broussonetia papyrifera,Taiwan,"Taiwan, Hualien County, Hualien County",cp05,"Taiwan, Hualien County, Hualien County [cp05]"
SRR12425384,35.1803410957218,-8.12907281802906,-11.7504293409658,Broussonetia papyrifera,Taiwan,"Taiwan, Luye Township, Taitung County",cp05,"Taiwan, Luye Township, Taitung County [cp05]"
SRR12425385,-22.2549013029422,11.5807103886514,-19.6940718781719,Broussonetia kaempferi,China,"China, Yongchun, Quanzhou, Fujian Province","","China, Yongchun, Quanzhou, Fujian Province"
SRR12425386,-23.8196479113022,10.9374599260271,-19.3077625147732,Broussonetia monoica,Taiwan,"Taiwan, Fuxing District, Taoyuan City","","Taiwan, Fuxing District, Taoyuan City"
SRR12425387,45.2728697543212,45.8161901128942,20.2797358119974,Broussonetia papyrifera,French Polynesia,"French Polynesia, Tahiti",cp17B,"French Polynesia, Tahiti [cp17B]"
SRR12425388,46.7004712422717,47.7967182923543,21.2744216144652,Broussonetia papyrifera,Samoa,"Samoa, Palauli Siapo demostration, Palauli, Savaii",cp17,"Samoa, Palauli Siapo demostration, Palauli, Savaii [cp17]"
SRR12425389,47.4598070117018,48.8447197257018,21.8342907051089,Broussonetia papyrifera,Samoa,"Samoa, Faleolo International Airpor, Faleolo, Upolu",cp17,"Samoa, Faleolo International Airpor, Faleolo, Upolu [cp17]"
SRR12425390,45.1091687426716,46.3202707817053,20.7232251691103,Broussonetia papyrifera,Fiji,"Fiji, Ekubo, Vatulele",cp17,"Fiji, Ekubo, Vatulele [cp17]"
SRR12425391,34.9224963282407,-7.36641817365508,-10.4864469482552,Broussonetia papyrifera,Taiwan,"Taiwan, Changbin Township, Taitung County",cp05,"Taiwan, Changbin Township, Taitung County [cp05]"
SRR12425392,45.5413378273571,46.7908016958019,20.8204007147516,Broussonetia papyrifera,Tonga,"Tonga, Nuku'alofa, Tongatapu",cp17,"Tonga, Nuku'alofa, Tongatapu [cp17]"
SRR12425393,-31.3320798565476,-23.7450818874015,41.5230061316548,Broussonetia papyrifera,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo",cp28,"Japan, The University of Tokyo, Bunkyo, Tokyo [cp28]"
SRR12425394,-31.6712607467682,-22.0937813854274,41.775697996396,Broussonetia papyrifera,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo",cp28,"Japan, The University of Tokyo, Bunkyo, Tokyo [cp28]"
SRR12425395,-44.3903734330169,6.86296175129717,-2.17010937102164,Broussonetia papyrifera,China,"China, Peking University, Haidian, Beijing",cp40,"China, Peking University, Haidian, Beijing [cp40]"
SRR12425396,-45.1476160458185,6.67272595962042,-4.02640915734743,Broussonetia papyrifera,China,"China, Peking University, Haidian, Beijing",CloseTocp40,"China, Peking University, Haidian, Beijing [CloseTocp40]"
SRR12425397,-44.9099777358349,6.80103306216993,-4.0552786561966,Broussonetia papyrifera,China,"China, Yuntai Mountain, Jiaozuo, Henan Province",cp40,"China, Yuntai Mountain, Jiaozuo, Henan Province [cp40]"
SRR12425398,-41.6298455488853,-0.694947998447486,7.68946914035772,Broussonetia papyrifera,China,"China, Mengyin, Linyi, Shandong Province",cp40,"China, Mengyin, Linyi, Shandong Province [cp40]"
SRR12425399,-42.5460648030555,-1.71405458790258,10.4894383329022,Broussonetia papyrifera,China,"China, White Horse Temple, Taian, Shandong Province",cp29,"China, White Horse Temple, Taian, Shandong Province [cp29]"
SRR12425400,-41.8899767200715,-0.384357932555057,7.73594514284112,Broussonetia papyrifera,China,"China, Jiawang, Xuzhou, Zhejiang Province",cp29,"China, Jiawang, Xuzhou, Zhejiang Province [cp29]"
SRR12425401,-37.7493375666048,-9.7142149703718,23.1737487061529,Broussonetia papyrifera,China,"China, Lianyun, Lianyungang, Zhejiang Province",cp01,"China, Lianyun, Lianyungang, Zhejiang Province [cp01]"
SRR12425402,31.6751013470997,-25.9337175478084,-9.75044582551011,Broussonetia papyrifera,Taiwan,"Taiwan, Bali District, Taipei City",CloseTocp01,"Taiwan, Bali District, Taipei City [CloseTocp01]"
SRR12425403,-32.5544610795824,-11.6379588790488,22.896396467499,Broussonetia papyrifera,China,"China, Jurong, Zhenjiang, Jiangsu Province",cp01,"China, Jurong, Zhenjiang, Jiangsu Province [cp01]"
SRR12425404,-29.0245447065741,-17.9674288186878,30.5523076297625,Broussonetia papyrifera,China,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City",CloseTocp01,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City [CloseTocp01]"
SRR12425405,-27.2486333223274,-17.1212809515198,30.6791497169188,Broussonetia papyrifera,China,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City",cp01,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City [cp01]"
SRR12425406,-32.182862215529,-18.028891741729,33.4245124339221,Broussonetia papyrifera,China,"China, Xihu, Hangzhou, Zhejiang Province",cp22,"China, Xihu, Hangzhou, Zhejiang Province [cp22]"
SRR12425407,-31.3145187118347,-18.2610396723702,33.4861438845849,Broussonetia papyrifera,China,"China, Deqing, Huzhou, Zhejiang Province",cp01,"China, Deqing, Huzhou, Zhejiang Province [cp01]"
SRR12425408,-37.1987230019442,-7.97377429384063,19.0432003484876,Broussonetia papyrifera,China,"China, Donghai, Lianyungang, Jiangsu Province",cp47,"China, Donghai, Lianyungang, Jiangsu Province [cp47]"
SRR12425409,-36.6565075491476,-9.04968243805756,23.422328523421,Broussonetia papyrifera,China,"China, Yanping, Nanping, Fujian Province",cp20,"China, Yanping, Nanping, Fujian Province [cp20]"
SRR12425410,-30.0369162107833,-15.2948729042752,27.7732508227177,Broussonetia papyrifera,Taiwan,"Taiwan, Kincheng, Kinmen County, Fujian Province",cp48,"Taiwan, Kincheng, Kinmen County, Fujian Province [cp48]"
SRR12425411,-23.3101630405479,-15.5494908876783,26.469842681415,Broussonetia papyrifera,Taiwan,"Taiwan, Machu, Lianjiang County, Fujian Province",cp46,"Taiwan, Machu, Lianjiang County, Fujian Province [cp46]"
SRR12425412,-38.4449278402988,-7.467603330785,16.4316563892166,Broussonetia papyrifera,China,"China, Xiamen Botanical Garden, Xiamen, Fujian Province",cp22,"China, Xiamen Botanical Garden, Xiamen, Fujian Province [cp22]"
SRR12425413,29.9752237379053,-28.6226580598009,-5.87939779761472,Broussonetia papyrifera,Taiwan,"Taiwan, Fengyuan District, Taichung City",cp03,"Taiwan, Fengyuan District, Taichung City [cp03]"
SRR12425414,-33.3684588300495,-14.4872308095403,32.2058634047622,Broussonetia papyrifera,China,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province",cp01,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province [cp01]"
SRR12425415,-41.7886587892028,-4.10844090011076,13.9214180682821,Broussonetia papyrifera,China,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province",cp01,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province [cp01]"
SRR12425416,36.6732971086364,-12.0184810405046,-12.6885207423541,Broussonetia papyrifera,Taiwan,"Taiwan, Fenggang Township, Pingtung County",p17,"Taiwan, Fenggang Township, Pingtung County [p17]"
SRR12425417,29.7729794455941,-31.1916319821697,-9.03986709790688,Broussonetia papyrifera,Taiwan,"Taiwan, Zuozhen District, Tainan City",cp16,"Taiwan, Zuozhen District, Tainan City [cp16]"
SRR12425418,30.8910000531002,-31.1150295637277,-9.11742632293048,Broussonetia papyrifera,Taiwan,"Taiwan, National Chiayi University, East District, Chiayi City, Chiayi County",cp09,"Taiwan, National Chiayi University, East District, Chiayi City, Chiayi County [cp09]"
SRR12425419,32.7727922563154,-20.3934814471388,-10.5017736586031,Broussonetia papyrifera,Taiwan,"Taiwan, Hengchun Township, Pingtung County",cp09,"Taiwan, Hengchun Township, Pingtung County [cp09]"
SRR12425420,34.7689706881063,-9.95881789283711,-11.8096944335497,Broussonetia papyrifera,Taiwan,"Taiwan, Fenglin Township, Hualien County",cp52,"Taiwan, Fenglin Township, Hualien County [cp52]"
SRR12425421,35.1608057820432,-8.21380972703944,-11.8235162915856,Broussonetia papyrifera,Taiwan,"Taiwan, Fenglin Township, Hualien County",cp06,"Taiwan, Fenglin Township, Hualien County [cp06]"
SRR12425422,36.1977708964789,-7.18194897751983,-13.7753164813166,Broussonetia papyrifera,Taiwan,"Taiwan, Fuli Township, Hualien County",cp05,"Taiwan, Fuli Township, Hualien County [cp05]"
SRR12425423,32.9997027794287,-6.86396456114247,-12.543527141379,Broussonetia papyrifera,Taiwan,"Taiwan, Fuli Township, Hualien County",cp05,"Taiwan, Fuli Township, Hualien County [cp05]"
SRR12425424,30.8872276533302,-29.1689076677902,-8.48924521120529,Broussonetia papyrifera,Taiwan,"Taiwan, Tongluo Township, Miaoli County",cp01,"Taiwan, Tongluo Township, Miaoli County [cp01]"
SRR12425425,36.6824691542241,-8.70745659537016,-11.7620242230518,Broussonetia papyrifera,Taiwan,"Taiwan, Fengbin Township, Hualien County",cp01,"Taiwan, Fengbin Township, Hualien County [cp01]"
SRR12425426,31.7795233399918,-7.67367175998816,-10.3697777365756,Broussonetia papyrifera,Taiwan,"Taiwan, Nan'ao Township, Yilan County",cp01,"Taiwan, Nan'ao Township, Yilan County [cp01]"
SRR12425427,-31.7818425633896,-18.985716225701,39.0395465513184,Broussonetia papyrifera,China,"China, Liandu, Lishui, Zhejiang Province",cp22,"China, Liandu, Lishui, Zhejiang Province [cp22]"
SRR12425428,-26.3553135637791,-22.4227519683089,36.6705149621739,Broussonetia papyrifera,China,"China, Xianju, Taizhou, Zhejiang Province",cp01,"China, Xianju, Taizhou, Zhejiang Province [cp01]"
SRR12425429,-32.9553013312854,-18.4470058520846,33.6228243314544,Broussonetia papyrifera,China,"China, Dongyang, Jinhua, Zhejiang Province",cp01,"China, Dongyang, Jinhua, Zhejiang Province [cp01]"
SRR12425430,-36.3300057818174,-17.4123487073161,40.6867359414332,Broussonetia papyrifera,China,"China, Xianju, Taizhou, Zhejiang Province",cp28,"China, Xianju, Taizhou, Zhejiang Province [cp28]"
SRR12425431,-36.9537808901655,-17.9836183112542,41.3692452571472,Broussonetia papyrifera,China,"China, Xianju, Taizhou, Zhejiang Province",cp28,"China, Xianju, Taizhou, Zhejiang Province [cp28]"
SRR12425432,-55.3375089427888,24.2137445024922,-32.2003332442489,Broussonetia papyrifera,China,"China, Disu, Duan, Guangxi Province",cp34,"China, Disu, Duan, Guangxi Province [cp34]"
SRR12425433,-56.2552583994342,23.8602241883805,-33.0713044532694,Broussonetia papyrifera,China,"China, Fangcheng, Fangchenggang, Guangxi Province",cp32,"China, Fangcheng, Fangchenggang, Guangxi Province [cp32]"
SRR12425434,-54.559260849098,24.7458125252369,-34.3126306373149,Broussonetia papyrifera,China,"China, Dongmiao, Duan, Guangxi Province",cp21,"China, Dongmiao, Duan, Guangxi Province [cp21]"
SRR12425435,30.2887073597302,-27.6444944873943,-7.59753348589052,Broussonetia papyrifera,Taiwan,"Taiwan, Nantou City, Nantou County",cp01,"Taiwan, Nantou City, Nantou County [cp01]"
SRR12425436,-33.4495799029851,-16.5697797770994,30.8397125207297,Broussonetia papyrifera,China,"China, Licheng, Quanzhou, Fujian Province",cp34,"China, Licheng, Quanzhou, Fujian Province [cp34]"
SRR12425437,-35.17588931267,-16.2232389629009,32.9385609448134,Broussonetia papyrifera,China,"China, Jinjiang, Quanzhou, Fujian Province",cp20,"China, Jinjiang, Quanzhou, Fujian Province [cp20]"
SRR12425438,-36.6003220131578,-14.2448796389481,29.125243336759,Broussonetia papyrifera,China,"China, Xiangcheng, Zhangzhou, Fujian Province",cp20,"China, Xiangcheng, Zhangzhou, Fujian Province [cp20]"
SRR12425439,-37.592360837115,-13.6409689799854,28.0041247831684,Broussonetia papyrifera,China,"China, Siming, Xiamen, Fujian Province",cp20,"China, Siming, Xiamen, Fujian Province [cp20]"
SRR12425440,-44.669151869222,5.8127133862668,-0.575158237345252,Broussonetia papyrifera,China,"China, Siming, Xiamen, Fujian Province",cp40,"China, Siming, Xiamen, Fujian Province [cp40]"
