Run,PC1,PC2,PC3,country,locality
SRR12425370,-48.2449628998906,-15.4666137096432,21.4393913641293,China,"China, Liancheng, Longyan, Fujian Province"
SRR12425371,-47.7516869482181,-8.02578867585748,8.78669875385181,China,"China, Liancheng, Longyan, Fujian Province"
SRR12425372,36.8531763072886,7.53441031401411,11.3183004487338,Taiwan,"Taiwan, Guanshan Township, Taitung County"
SRR12425373,32.5299957566218,16.4976551383494,11.005593235769,Taiwan,"Taiwan, Fangshan Township, Pingtung County"
SRR12425375,35.3333625706552,8.09939060301862,12.0194464122385,Taiwan,"Taiwan, Dawu Township, Taitung County"
SRR12425376,32.1523761532436,27.3918627862668,7.15374667901013,Taiwan,"Taiwan, Yanpu Township, Pingtung County"
SRR12425378,33.2680017788049,31.0656834633439,6.69868821926696,Taiwan,"Taiwan, Taibao Township, Chiayi County"
SRR12425379,29.4136125713713,29.1863535533637,5.83591360904651,Taiwan,"Taiwan, Ren'ai Township, Nantou County"
SRR12425380,38.8941492894503,8.33758481480825,13.4257602851841,Taiwan,"Taiwan, Taitung City, Taitung County"
SRR12425382,34.5846496450699,10.5432153864044,11.4933368246082,Taiwan,"Taiwan, Xincheng Township, Hualien County"
SRR12425383,36.7496793769894,10.1177466809121,12.0561799525169,Taiwan,"Taiwan, Hualien County, Hualien County"
SRR12425384,35.8178109440476,9.07384985379021,12.166072522951,Taiwan,"Taiwan, Luye Township, Taitung County"
SRR12425387,46.0326993236371,-46.4106874248707,-20.2294020920372,French Polynesia,"French Polynesia, Tahiti"
SRR12425388,47.7007738311079,-48.5985615787445,-21.4184108016136,Samoa,"Samoa, Palauli Siapo demostration, Palauli, Savaii"
SRR12425389,48.7801222369847,-50.0098863800224,-21.915272308658,Samoa,"Samoa, Faleolo International Airpor, Faleolo, Upolu"
SRR12425390,45.6478884046314,-46.6418564310154,-20.5647238707262,Fiji,"Fiji, Ekubo, Vatulele"
SRR12425391,35.0954737613586,8.28593521695176,11.0755543706876,Taiwan,"Taiwan, Changbin Township, Taitung County"
SRR12425392,46.3950399633879,-47.3498310959173,-20.7579775682993,Tonga,"Tonga, Nuku'alofa, Tongatapu"
SRR12425393,-32.0082896588282,23.6173229641435,-41.2200636083061,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo"
